i,t,capcost,fom,vom,heatrate
Coal-IGCC,2010,6091.56458,170.282586,17.111672,9.325
Coal-IGCC,2011,6041.516514,170.282586,17.111672,9.239333
Coal-IGCC,2012,5991.468449,170.282586,17.111672,9.153667
Coal-IGCC,2013,5941.420383,170.282586,17.111672,9.068
Coal-IGCC,2014,5891.372316,170.282586,17.111672,8.982333
Coal-IGCC,2015,5841.324252,170.282586,17.111672,8.896667
Coal-IGCC,2016,5791.276186,170.282586,17.111672,8.811
Coal-IGCC,2017,5741.228119,170.282586,17.111672,8.725333
Coal-IGCC,2018,5691.180054,170.282586,17.111672,8.639667
Coal-IGCC,2019,5641.131987,170.282586,17.111672,8.554
Coal-IGCC,2020,5236.913143,165.429484,16.903141,8.45
Coal-IGCC,2021,5624.098268,168.754428,16.605616,8.308
Coal-IGCC,2022,5832.931196,174.3675,17.11404,8.308
Coal-IGCC,2023,5557.0,167.0,16.59,8.308
Coal-IGCC,2024,5546.0,167.0,16.57,8.308
Coal-IGCC,2025,5536.0,166.0,16.55,8.308
Coal-IGCC,2026,5526.0,166.0,16.53,8.308
Coal-IGCC,2027,5516.0,166.0,16.5,8.308
Coal-IGCC,2028,5506.0,165.0,16.48,8.308
Coal-IGCC,2029,5496.0,165.0,16.46,8.308
Coal-IGCC,2030,5486.0,165.0,16.43,8.308
Coal-IGCC,2031,5476.0,165.0,16.41,8.308
Coal-IGCC,2032,5466.0,164.0,16.39,8.308
Coal-IGCC,2033,5456.0,164.0,16.36,8.308
Coal-IGCC,2034,5446.0,164.0,16.34,8.308
Coal-IGCC,2035,5435.0,164.0,16.32,8.308
Coal-IGCC,2036,5423.0,163.0,16.29,8.308
Coal-IGCC,2037,5411.0,163.0,16.26,8.308
Coal-IGCC,2038,5399.0,163.0,16.23,8.308
Coal-IGCC,2039,5387.0,162.0,16.21,8.308
Coal-IGCC,2040,5375.0,162.0,16.18,8.308
Coal-IGCC,2041,5363.0,162.0,16.15,8.308
Coal-IGCC,2042,5351.0,161.0,16.12,8.308
Coal-IGCC,2043,5339.0,161.0,16.09,8.308
Coal-IGCC,2044,5326.0,161.0,16.07,8.308
Coal-IGCC,2045,5314.0,160.0,16.04,8.308
Coal-IGCC,2046,5302.0,160.0,16.01,8.308
Coal-IGCC,2047,5290.0,160.0,15.98,8.308
Coal-IGCC,2048,5278.0,159.0,15.95,8.308
Coal-IGCC,2049,5266.0,159.0,15.93,8.308
Coal-IGCC,2050,5254.0,159.0,15.9,8.308
Coal-IGCC,2051,5247.0,158.0,15.88,8.31
Coal-IGCC,2052,5239.0,158.0,15.87,8.31
Coal-IGCC,2053,5232.0,158.0,15.85,8.31
Coal-IGCC,2054,5225.0,158.0,15.83,8.31
Coal-IGCC,2055,5218.0,158.0,15.82,8.31
Coal-IGCC,2056,5211.0,157.0,15.8,8.31
Coal-IGCC,2057,5203.0,157.0,15.78,8.31
Coal-IGCC,2058,5196.0,157.0,15.76,8.31
Coal-IGCC,2059,5189.0,157.0,15.75,8.31
Coal-IGCC,2060,5182.0,157.0,15.73,8.31
Coal-new,2010,3192.351626,85.55836,9.366138,8.83
Coal-new,2011,3182.818661,85.55836,9.366138,8.790333
Coal-new,2012,3173.285695,85.55836,9.366138,8.750667
Coal-new,2013,3163.75273,85.55836,9.366138,8.711
Coal-new,2014,3154.219766,85.55836,9.366138,8.671333
Coal-new,2015,3144.686802,85.55836,9.366138,8.631667
Coal-new,2016,3135.153836,85.55836,9.366138,8.592
Coal-new,2017,3125.620871,85.55836,9.366138,8.552333
Coal-new,2018,3116.087907,85.55836,9.366138,8.512667
Coal-new,2019,3106.554941,85.55836,9.366138,8.473
Coal-new,2020,3022.790054,87.105321,9.251998,8.473
Coal-new,2021,3211.730674,87.244128,9.511409,8.49
Coal-new,2022,3332.449198,90.0465,9.6813,8.49
Coal-new,2023,3271.0,89.0,9.37,8.49
Coal-new,2024,3260.0,88.0,9.32,8.438
Coal-new,2025,3249.0,88.0,9.26,8.387
Coal-new,2026,3239.0,88.0,9.21,8.336
Coal-new,2027,3228.0,88.0,9.16,8.284
Coal-new,2028,3217.0,87.0,9.1,8.233
Coal-new,2029,3206.0,87.0,9.05,8.182
Coal-new,2030,3196.0,87.0,9.0,8.13
Coal-new,2031,3185.0,87.0,8.94,8.079
Coal-new,2032,3174.0,86.0,8.89,8.028
Coal-new,2033,3163.0,86.0,8.84,7.976
Coal-new,2034,3153.0,86.0,8.78,7.925
Coal-new,2035,3142.0,86.0,8.73,7.874
Coal-new,2036,3125.0,85.0,8.71,7.874
Coal-new,2037,3108.0,85.0,8.69,7.874
Coal-new,2038,3092.0,85.0,8.68,7.874
Coal-new,2039,3075.0,84.0,8.66,7.874
Coal-new,2040,3058.0,84.0,8.64,7.874
Coal-new,2041,3041.0,83.0,8.62,7.874
Coal-new,2042,3025.0,83.0,8.61,7.874
Coal-new,2043,3008.0,83.0,8.59,7.874
Coal-new,2044,2991.0,82.0,8.57,7.874
Coal-new,2045,2975.0,82.0,8.55,7.874
